Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,DT41J_Celsius,Fluence_n_cm2
F,0.04,0.74,0.6,0.012,287.0,24.88888888888889,4.619e+18
F,0.04,0.74,0.6,0.012,287.0,19.27777777777778,4.619e+18
F,0.04,0.74,0.6,0.012,287.0,38.61111111111112,4.385e+19
F,0.04,0.74,0.6,0.012,287.0,12.833333333333334,4.385e+19
W,0.03,0.56,1.4,0.005,287.0,4.388888888888889,4.619e+18
W,0.03,0.56,1.4,0.005,287.0,14.666666666666666,4.385e+19
P,0.15,0.52,1.32,0.01,291.1111111111111,10.0,7.27e+17
P,0.15,0.52,1.32,0.01,291.1111111111111,24.444444444444443,7.27e+17
P,0.15,0.52,1.32,0.01,292.22222222222223,26.11111111111111,1.03e+19
P,0.15,0.52,1.32,0.01,292.22222222222223,29.444444444444443,1.46e+19
P,0.15,0.52,1.32,0.01,292.22222222222223,39.44444444444444,1.03e+19
P,0.15,0.52,1.32,0.01,292.22222222222223,24.444444444444443,1.46e+19
P,0.15,0.52,1.32,0.01,292.22222222222223,12.22222222222222,4.28e+18
P,0.15,0.52,1.32,0.01,292.22222222222223,-2.7777777777777777,4.28e+18
W,0.27,0.58,1.49,0.016,291.1111111111111,55.55555555555556,7.27e+17
W,0.27,0.58,1.49,0.016,292.22222222222223,80.55555555555556,1.03e+19
W,0.27,0.58,1.49,0.016,292.22222222222223,96.66666666666669,1.46e+19
P,0.096,0.58,1.4,0.009,290.0,13.055555555555555,3.03e+18
P,0.096,0.58,1.4,0.009,290.0,18.555555555555557,3.03e+18
P,0.096,0.58,1.4,0.009,290.0,29.38888888888889,2.15e+19
W,0.045,0.083,1.33,0.004,290.0,7.333333333333334,3.03e+18
W,0.045,0.083,1.33,0.004,290.0,8.944444444444445,2.15e+19
F,0.03,0.73,1.33,0.007,293.3333333333333,3.111111111111107,3.88e+18
F,0.03,0.73,1.33,0.007,289.44444444444446,21.05555555555556,1.17e+19
F,0.03,0.73,1.33,0.007,290.0,13.333333333333329,1.98e+19
F,0.03,0.73,1.33,0.007,293.3333333333333,-8.777777777777779,3.88e+18
F,0.03,0.73,1.33,0.007,289.44444444444446,16.27777777777778,1.17e+19
F,0.03,0.73,1.33,0.007,290.0,20.61111111111111,1.98e+19
W,0.04,0.67,1.44,0.015,293.3333333333333,9.666666666666668,3.88e+18
